simulationId,slug,class,gradeBand,chapter,topic,activityNumber,activityTitle,subject,primaryArchetype,secondaryArchetypes,simulationFormat,xrFitType,comfortRiskLevel,expectedDurationMinutes,packageSizeTargetMb,reuseGroup,implementationNotes
sim-c05-ch10-a02-bulls-fetching-well-water-arrangement,c5-ch10-a02-bulls-fetching-well-water-arrangement,5,class3To5,10,Walls Tell Stories,2,Bulls fetching well water arrangement,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:walls-tell-stories,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch11-a01-a-space-shuttle-launching,c5-ch11-a01-a-space-shuttle-launching,5,class3To5,11,Sunita in Space,1,A Space Shuttle Launching,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,medium,9,225,environmentalScience:sunita-in-space,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c05-ch11-a02-life-in-space,c5-ch11-a02-life-in-space,5,class3To5,11,Sunita in Space,2,Life in Space,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,medium,9,225,environmentalScience:sunita-in-space,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c05-ch12-a01-important-traffic-signs-and-rules,c5-ch12-a01-important-traffic-signs-and-rules,5,class3To5,12,What if It Finishes..?,1,Important Traffic signs and rules,environmentalScience,scenario,,guidedVisualization,strongVrFit,low,8,120,environmentalScience:what-if-it-finishes,"Use decision scenario with safe choices, consequence preview, and debrief focused on reasoning rather than score."
sim-c05-ch12-a02-types-of-fuels,c5-ch12-a02-types-of-fuels,5,class3To5,12,What if It Finishes..?,2,Types of fuels,environmentalScience,modelInspection,sortingBoard,interactive3d,strongVrFit,low,8,150,environmentalScience:what-if-it-finishes,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch12-a03-types-of-domestic-fuels-and-its-usage,c5-ch12-a03-types-of-domestic-fuels-and-its-usage,5,class3To5,12,What if It Finishes..?,3,Types of domestic fuels and its usage,environmentalScience,modelInspection,sortingBoard,interactive3d,strongVrFit,low,8,150,environmentalScience:what-if-it-finishes,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch13-a01-preparation-for-tour,c5-ch13-a01-preparation-for-tour,5,class3To5,13,A Shelter so High!,1,Preparation for Tour,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,low,9,225,environmentalScience:a-shelter-so-high,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c05-ch13-a02-a-visit-to-ladakh,c5-ch13-a02-a-visit-to-ladakh,5,class3To5,13,A Shelter so High!,2,A visit to Ladakh,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,low,9,225,environmentalScience:a-shelter-so-high,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c05-ch13-a03-a-visit-to-srinagar,c5-ch13-a03-a-visit-to-srinagar,5,class3To5,13,A Shelter so High!,3,A visit to Srinagar,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,low,9,225,environmentalScience:a-shelter-so-high,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c05-ch14-a01-hot-air-and-cool-air,c5-ch14-a01-hot-air-and-cool-air,5,class3To5,14,"Blow Hot, Blow Cold",1,Hot air and Cool air,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:blow-hot-blow-cold,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch14-a02-flow-of-air,c5-ch14-a02-flow-of-air,5,class3To5,14,"Blow Hot, Blow Cold",2,Flow of air,environmentalScience,processTimeline,,guidedVisualization,strongVrFit,low,8,126,environmentalScience:blow-hot-blow-cold,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c05-ch15-a01-waste-management-system,c5-ch15-a01-waste-management-system,5,class3To5,15,Who will do this work ?,1,Waste Management System,environmentalScience,modelInspection,scenario,interactive3d,strongVrFit,low,8,150,environmentalScience:who-will-do-this-work,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch15-a02-waste-water-treatment-plant,c5-ch15-a02-waste-water-treatment-plant,5,class3To5,15,Who will do this work ?,2,Waste Water Treatment Plant,environmentalScience,guidedTour,scenario,virtualFieldVisit,strongVrFit,low,9,225,environmentalScience:who-will-do-this-work,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c05-ch16-a01-a-village-life,c5-ch16-a01-a-village-life,5,class3To5,16,No place for Us ?,1,A Village Life,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,low,9,225,environmentalScience:no-place-for-us,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c05-ch16-a02-a-life-in-a-small-town,c5-ch16-a02-a-life-in-a-small-town,5,class3To5,16,No place for Us ?,2,A life in a small town,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,low,9,225,environmentalScience:no-place-for-us,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c05-ch16-a03-a-life-in-a-metro-city,c5-ch16-a03-a-life-in-a-metro-city,5,class3To5,16,No place for Us ?,3,A life in a metro city,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,low,9,225,environmentalScience:no-place-for-us,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c05-ch17-a01-old-farming-methods,c5-ch17-a01-old-farming-methods,5,class3To5,17,A Seed tells a Farmer's Story,1,Old farming methods,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:a-seed-tells-a-farmer-s-story,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch17-a02-transformations-in-old-farming-methods,c5-ch17-a02-transformations-in-old-farming-methods,5,class3To5,17,A Seed tells a Farmer's Story,2,Transformations in old farming methods,environmentalScience,processTimeline,,guidedVisualization,strongVrFit,low,8,126,environmentalScience:a-seed-tells-a-farmer-s-story,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c05-ch17-a03-modern-farming-methods,c5-ch17-a03-modern-farming-methods,5,class3To5,17,A Seed tells a Farmer's Story,3,Modern Farming Methods,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:a-seed-tells-a-farmer-s-story,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c06-ch01-a01-sources-of-food,c6-ch01-a01-sources-of-food,6,class6To8,1,Food: Where does It come from?,1,Sources of Food,science,sortingBoard,,interactive3d,strongVrFit,low,9,140,science:food-where-does-it-come-from,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c06-ch01-a02-herbivores-carnivores-and-omnivores,c6-ch01-a02-herbivores-carnivores-and-omnivores,6,class6To8,1,Food: Where does It come from?,2,"Herbivores, Carnivores, and Omnivores",science,sortingBoard,,interactive3d,strongVrFit,low,9,140,science:food-where-does-it-come-from,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c06-ch02-a01-test-the-presence-of-carbohydrates,c6-ch02-a01-test-the-presence-of-carbohydrates,6,class6To8,2,Components of Food,1,Test the Presence of Carbohydrates,biology,experimentBench,modelInspection|measurementGraph,practicalLabSimulation,strongVrFit,low,10,225,biology:components-of-food,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
sim-c06-ch02-a02-test-the-presence-of-proteins,c6-ch02-a02-test-the-presence-of-proteins,6,class6To8,2,Components of Food,2,Test the Presence of Proteins,science,experimentBench,modelInspection,practicalLabSimulation,strongVrFit,low,10,225,science:components-of-food,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
sim-c06-ch02-a03-test-the-presence-of-lipids,c6-ch02-a03-test-the-presence-of-lipids,6,class6To8,2,Components of Food,3,Test the Presence of Lipids,science,experimentBench,modelInspection,practicalLabSimulation,strongVrFit,low,10,225,science:components-of-food,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
sim-c06-ch02-a04-the-sources-of-vitamins-and-their-deficiencies,c6-ch02-a04-the-sources-of-vitamins-and-their-deficiencies,6,class6To8,2,Components of Food,4,The sources of vitamins and their deficiencies,science,modelInspection,sortingBoard,interactive3d,strongVrFit,low,10,250,science:components-of-food,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c06-ch02-a05-the-sources-of-minerals-in-food,c6-ch02-a05-the-sources-of-minerals-in-food,6,class6To8,2,Components of Food,5,The sources of minerals in Food,science,modelInspection,sortingBoard,interactive3d,strongVrFit,low,10,250,science:components-of-food,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c06-ch03-a01-cotton-farming,c6-ch03-a01-cotton-farming,6,class6To8,3,Fiber to Fabric,1,Cotton Farming,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,10,250,environmentalScience:fiber-to-fabric,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c06-ch03-a02-the-process-of-cotton-ginning,c6-ch03-a02-the-process-of-cotton-ginning,6,class6To8,3,Fiber to Fabric,2,The process of Cotton Ginning,science,processTimeline,,guidedVisualization,strongVrFit,low,10,210,science:fiber-to-fabric,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c06-ch04-a01-sorting-materials-according-to-their-shape,c6-ch04-a01-sorting-materials-according-to-their-shape,6,class6To8,4,Sorting Materials into Groups,1,Sorting materials according to their shape,science,sortingBoard,,interactive3d,strongVrFit,low,9,140,science:sorting-materials-into-groups,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c06-ch04-a02-sorting-materials-according-to-their-surface,c6-ch04-a02-sorting-materials-according-to-their-surface,6,class6To8,4,Sorting Materials into Groups,2,Sorting materials according to their surface,science,sortingBoard,,interactive3d,strongVrFit,low,9,140,science:sorting-materials-into-groups,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c06-ch04-a03-sorting-materials-according-to-their-hardness,c6-ch04-a03-sorting-materials-according-to-their-hardness,6,class6To8,4,Sorting Materials into Groups,3,Sorting materials according to their hardness,science,sortingBoard,,interactive3d,strongVrFit,low,9,140,science:sorting-materials-into-groups,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c06-ch04-a04-sorting-solid-materials-according-to-their-solubility-in-water,c6-ch04-a04-sorting-solid-materials-according-to-their-solubility-in-water,6,class6To8,4,Sorting Materials into Groups,4,Sorting solid materials according to their solubility in water,environmentalScience,sortingBoard,,interactive3d,strongVrFit,low,9,140,environmentalScience:sorting-materials-into-groups,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c06-ch04-a05-sorting-liquids-according-to-their-solubility-in-water,c6-ch04-a05-sorting-liquids-according-to-their-solubility-in-water,6,class6To8,4,Sorting Materials into Groups,5,Sorting Liquids according to their solubility in water,environmentalScience,sortingBoard,,interactive3d,strongVrFit,low,9,140,environmentalScience:sorting-materials-into-groups,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c06-ch04-a06-sorting-materials-according-to-their-density,c6-ch04-a06-sorting-materials-according-to-their-density,6,class6To8,4,Sorting Materials into Groups,6,Sorting materials according to their density,science,sortingBoard,,interactive3d,strongVrFit,low,9,140,science:sorting-materials-into-groups,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c06-ch04-a07-transparency-translucency-and-opacity,c6-ch04-a07-transparency-translucency-and-opacity,6,class6To8,4,Sorting Materials into Groups,7,"Transparency, Translucency and Opacity",science,sortingBoard,,interactive3d,strongVrFit,low,9,140,science:sorting-materials-into-groups,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c06-ch05-a01-methods-of-separating-substances,c6-ch05-a01-methods-of-separating-substances,6,class6To8,5,Separation of Substances,1,Methods of separating substances,science,processTimeline,,guidedVisualization,strongVrFit,low,10,210,science:separation-of-substances,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c06-ch05-a02-the-sieving-process,c6-ch05-a02-the-sieving-process,6,class6To8,5,Separation of Substances,2,The Sieving process,science,processTimeline,,guidedVisualization,strongVrFit,low,10,210,science:separation-of-substances,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c06-ch05-a03-sedimentation-decantation-and-filtration-processes,c6-ch05-a03-sedimentation-decantation-and-filtration-processes,6,class6To8,5,Separation of Substances,3,"Sedimentation, Decantation and Filtration processes",science,processTimeline,,guidedVisualization,strongVrFit,low,10,210,science:separation-of-substances,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c06-ch05-a04-saturation-evaporation-and-condensation-process,c6-ch05-a04-saturation-evaporation-and-condensation-process,6,class6To8,5,Separation of Substances,4,"Saturation, Evaporation and Condensation Process",science,experimentBench,processTimeline,practicalLabSimulation,strongVrFit,low,10,225,science:separation-of-substances,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
sim-c06-ch06-a01-information-about-reversible-and-irreversible-changes-and-its-examples-p,c6-ch06-a01-information-about-reversible-and-irreversible-changes-and-its-examples-p,6,class6To8,6,Changes around Us,1,Information about Reversible and Irreversible changes and its examples - Part 1,science,processTimeline,,guidedVisualization,strongVrFit,low,10,210,science:changes-around-us,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c06-ch06-a02-reversible-and-irreversible-changes-part-2,c6-ch06-a02-reversible-and-irreversible-changes-part-2,6,class6To8,6,Changes around Us,2,Reversible and Irreversible changes - Part 2,science,modelInspection,,interactive3d,strongVrFit,low,10,250,science:changes-around-us,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c06-ch06-a03-reversible-and-irreversible-changes-part-3,c6-ch06-a03-reversible-and-irreversible-changes-part-3,6,class6To8,6,Changes around Us,3,Reversible and Irreversible changes - Part 3,science,modelInspection,,interactive3d,strongVrFit,low,10,250,science:changes-around-us,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c06-ch07-a01-types-and-parts-of-the-plant,c6-ch07-a01-types-and-parts-of-the-plant,6,class6To8,7,Getting to Know Plants,1,Types and parts of the plant,biology,guidedTour,modelInspection|sortingBoard,virtualFieldVisit,strongVrFit,low,11,375,biology:getting-to-know-plants,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c06-ch07-a02-types-of-root-its-structure-and-function,c6-ch07-a02-types-of-root-its-structure-and-function,6,class6To8,7,Getting to Know Plants,2,Types of root- its structure and function,biology,guidedTour,modelInspection|sortingBoard,virtualFieldVisit,strongVrFit,low,11,375,biology:getting-to-know-plants,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c06-ch07-a03-structure-and-function-of-stem,c6-ch07-a03-structure-and-function-of-stem,6,class6To8,7,Getting to Know Plants,3,Structure and function of stem,biology,guidedTour,modelInspection,virtualFieldVisit,strongVrFit,low,11,375,biology:getting-to-know-plants,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c06-ch07-a04-structure-and-function-of-leaf,c6-ch07-a04-structure-and-function-of-leaf,6,class6To8,7,Getting to Know Plants,4,Structure and function of leaf,biology,guidedTour,modelInspection,virtualFieldVisit,strongVrFit,low,11,375,biology:getting-to-know-plants,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c06-ch07-a05-structure-and-function-of-the-flower,c6-ch07-a05-structure-and-function-of-the-flower,6,class6To8,7,Getting to Know Plants,5,Structure and function of the flower,biology,guidedTour,modelInspection|processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:getting-to-know-plants,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c06-ch07-a06-the-basic-photosynthesis-process,c6-ch07-a06-the-basic-photosynthesis-process,6,class6To8,7,Getting to Know Plants,6,The Basic photosynthesis process,biology,guidedTour,processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:getting-to-know-plants,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c06-ch08-a01-body-movement-in-human,c6-ch08-a01-body-movement-in-human,6,class6To8,8,Body Movements,1,Body movement in human,science,processTimeline,,guidedVisualization,strongVrFit,low,10,210,science:body-movements,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c06-ch08-a02-body-movement-of-earthworm-snail-and-cockroach,c6-ch08-a02-body-movement-of-earthworm-snail-and-cockroach,6,class6To8,8,Body Movements,2,"Body movement of earthworm, snail, and cockroach",biology,modelInspection,processTimeline,interactive3d,strongVrFit,low,10,250,biology:body-movements,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c06-ch08-a03-body-movement-in-eagle-fish-and-snake,c6-ch08-a03-body-movement-in-eagle-fish-and-snake,6,class6To8,8,Body Movements,3,"Body movement in eagle, fish and snake",science,processTimeline,,guidedVisualization,strongVrFit,low,10,210,science:body-movements,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c06-ch09-a01-adaptations-for-desert-habitat,c6-ch09-a01-adaptations-for-desert-habitat,6,class6To8,9,The Living Organisms Characteristicsand Habitats,1,Adaptations for desert habitat,biology,modelInspection,,interactive3d,strongVrFit,low,10,250,biology:the-living-organisms-characteristicsand-habitats,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c06-ch09-a02-adaptations-for-aquatic-habitat,c6-ch09-a02-adaptations-for-aquatic-habitat,6,class6To8,9,The Living Organisms Characteristicsand Habitats,2,Adaptations for aquatic habitat,biology,modelInspection,,interactive3d,strongVrFit,low,10,250,biology:the-living-organisms-characteristicsand-habitats,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c06-ch09-a03-adaptations-for-mountain-habitat,c6-ch09-a03-adaptations-for-mountain-habitat,6,class6To8,9,The Living Organisms Characteristicsand Habitats,3,Adaptations for mountain habitat,biology,guidedTour,modelInspection,virtualFieldVisit,strongVrFit,medium,11,375,biology:the-living-organisms-characteristicsand-habitats,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c06-ch09-a04-adaptations-for-grassland-habitat,c6-ch09-a04-adaptations-for-grassland-habitat,6,class6To8,9,The Living Organisms Characteristicsand Habitats,4,Adaptations for grassland habitat,biology,modelInspection,,interactive3d,strongVrFit,low,10,250,biology:the-living-organisms-characteristicsand-habitats,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c06-ch09-a05-characteristics-of-living-organisms,c6-ch09-a05-characteristics-of-living-organisms,6,class6To8,9,The Living Organisms Characteristicsand Habitats,5,Characteristics of living organisms,biology,modelInspection,,interactive3d,strongVrFit,low,10,250,biology:the-living-organisms-characteristicsand-habitats,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c06-ch10-a01-measurement-of-length,c6-ch10-a01-measurement-of-length,6,class6To8,10,Motion and Measurement of Distances,1,Measurement of Length,physics,measurementGraph,,interactive3d,strongVrFit,low,9,125,physics:motion-and-measurement-of-distances,"Use instrument panel, recorded readings, plotted graph, and one interpretable data question."
